name,artist,id,danceability,energy,loudness,speechiness,acousticness,tempo,liveness,valence,mood
Can't Stay Away,Darin,4herjqbsHfOHoIzRPti4JA,0.703,0.86,0.803238166,0.0961,0.131,118.763,0.102,0.749,1
,,,,,,,,,,,
Free (with Drew Love),Louis The Child,64BKKgWdKdmKlQDzRfHW3C,0.653,0.565,0.483500185,0.0354,0.00561,124.987,0.145,0.165,1
,,,,,,,,,,,
Come Into My World (with NERVO),Alexandra Stan,4obdrS0MedggXXBHehsu9N,0.715,0.874,0.749227537,0.0385,0.0503,121.973,0.0977,0.784,1
,,,,,,,,,,,
Life's Too Short,Two Friends,326yOKaTPs91elL1KW794F,0.648,0.795,0.602892102,0.0433,0.0275,100.032,0.113,0.364,1
,,,,,,,,,,,
Dandelion,Galantis,4NexTaCZZ7Ehnf03A6SVjt,0.8,0.66,0.69768879,0.158,0.158,117.923,0.14,0.634,1
,,,,,,,,,,,
Temptation (feat. Elise LeGrow),Bakermat,5nz5inh9IXoP7wwi2hi8kO,0.834,0.63,0.595847238,0.0422,0.00838,120.004,0.0963,0.416,1
,,,,,,,,,,,
When I'm Right,Morgan Page,2CK74bmcRamAsB7DUBR4aJ,0.751,0.784,0.690149549,0.138,0.0521,106.069,0.0629,0.533,1
,,,,,,,,,,,
More Than A Woman - SG's Paradise Edit,Bee Gees,0L3XCv9i9IHs8cJEVhsJ3J,0.679,0.762,0.778024966,0.0316,0.00469,105.407,0.0446,0.511,1
,,,,,,,,,,,
Happy Music,Supershy,3rh495Z2rIRwD316blea4f,0.777,0.738,0.579285626,0.0352,0.0411,123.991,0.0265,0.887,1
,,,,,,,,,,,
Hope,DJ Licious,7cq9AiuDxB2vtkZuNDOQey,0.657,0.837,0.546533185,0.032,0.00227,128.027,0.105,0.312,1
,,,,,,,,,,,
I'm In Love,Paul Oakenfold,2Rfy50UpGrTN43GmSpn5A1,0.742,0.789,0.351996045,0.0379,0.0682,119.998,0.139,0.202,1
,,,,,,,,,,,
Togetherness,LP Giobbi,4aXij4j5BNOKKNrxgA6wc6,0.712,0.868,0.609318996,0.08,0.00355,126.018,0.035,0.779,1
,,,,,,,,,,,
Who Do You Love,ARTY,2w1rG2MPE4vF77znvevuz5,0.537,0.964,0.972809294,0.0552,0.018,125.992,0.16,0.509,1
,,,,,,,,,,,
Antibodies - LP Giobbi Remix,Tensnake,2BqIdDEwf8bHH0JuwS9j4O,0.61,0.765,0.696329255,0.172,0.175,125.028,0.0914,0.243,1
,,,,,,,,,,,
The Spirit,Bakermat,1dBpg8a8jwAkaSbROiehr9,0.894,0.548,0.411815598,0.179,0.0104,119.998,0.098,0.802,1
,,,,,,,,,,,
Future Starts Now,Kim Petras,3p2wS6G159mBIU50xl7uvc,0.693,0.853,0.779508095,0.0503,0.00329,119.948,0.123,0.432,1
,,,,,,,,,,,
Good Feeling,Duvall,1h4zfNDe8UapUvTuaDsTuM,0.693,0.845,0.899517983,0.0348,0.0127,125.009,0.169,0.498,1
,,,,,,,,,,,
Everything's Gonna Be Alright (feat. London Community Gospel Choir),Mark Knight,6e9zuRnA4Vsg3PO6I1CMte,0.623,0.939,0.850574713,0.0745,0.0102,123.981,0.699,0.661,1
,,,,,,,,,,,
Okay,Nicky Romero,71H8k9qe7DersxR6KyhUnI,0.513,0.836,0.836361389,0.0579,0.0463,124.964,0.128,0.304,1
,,,,,,,,,,,
Feels Like Love (feat. MIYA MIYA),Syn Cole,4R4gOp9ybG85RqbrY7JELc,0.728,0.657,0.645037696,0.042,0.0696,122.079,0.0855,0.772,1
,,,,,,,,,,,
Those Eyes,ARTY,4KqA0GwEKbc96WyfIZn3SV,0.727,0.822,0.749845507,0.0471,0.0698,118.092,0.408,0.855,1
,,,,,,,,,,,
Don’t Wake Me Up,Jonas Blue,3LEgGAl9zLcQWGTp7ptqtQ,0.621,0.747,0.675318255,0.0337,0.222,124.015,0.147,0.426,1
,,,,,,,,,,,
More Than I Can Say,GAMPER & DADONI,7HjAWHKa7PURoZFHgjOA5O,0.53,0.807,0.642689408,0.147,0.000532,127.991,0.496,0.263,1
,,,,,,,,,,,
Young Right Now,Robin Schulz,0JpEMzTHbt2zBIXrntrXzG,0.539,0.708,0.538746756,0.0976,0.0129,123.039,0.14,0.381,1
,,,,,,,,,,,
Lights Up (feat. Channel Tres),Flight Facilities,2AilPQNd3s6oxFstz2ZZ4n,0.79,0.442,0.285008034,0.0944,0.00449,118.009,0.184,0.51,1
,,,,,,,,,,,
Stop This Flame - Celeste x MK,Celeste,3FN7IJMnUMWZXDw08ix3ot,0.692,0.846,0.596712396,0.0559,0.0194,124.007,0.324,0.827,1
,,,,,,,,,,,
Problems,Don Diablo,2dyrLrVopYKGc3H9oOYSmZ,0.721,0.768,0.76344086,0.0685,0.21,124.076,0.262,0.468,1
,,,,,,,,,,,
Joy,salute,17E3lZxFJnO49Gb0tdgVn0,0.663,0.971,0.931158077,0.0771,0.0204,132.049,0.0669,0.683,1
,,,,,,,,,,,
Malibu,Virginia To Vegas,5XPo15e5ICs6NvSMn44pTF,0.657,0.653,0.250030899,0.0258,0.0568,111.974,0.321,0.624,1
,,,,,,,,,,,
You've Got To Let Go If You Want To Be Free,Disclosure,5kVXjAxYDkN57tZQi0JKya,0.658,0.908,0.306142628,0.186,0.0335,123.92,0.221,0.45,1
,,,,,,,,,,,
Young Summer,Tungevaag,1OfHes9WQdGQSIgNwrqIAw,0.642,0.907,0.900753924,0.0507,0.00768,107.06,0.0696,0.357,1
,,,,,,,,,,,
Be My One,Sonny Fodera,2KN5wY5R4gXbka8wB2kXh8,0.666,0.906,0.693362996,0.0446,0.0196,120.94,0.0947,0.659,1
,,,,,,,,,,,
Set You Free,Lucas & Steve,4MyPLcBTpqfXZJKcUhMXOg,0.554,0.93,0.729452478,0.0768,0.0024,126.015,0.4,0.431,1
,,,,,,,,,,,
Good Time,Jodie Harsh,7quk6gEs1XOu8LOO6iaDZJ,0.72,0.908,0.875169942,0.0745,0.00133,127.896,0.378,0.916,1
,,,,,,,,,,,
Bedroom Eyes (feat. Studio Killers),The Knocks,4XP2xY8tUYed1cceuh24Q8,0.651,0.786,0.84328266,0.0761,0.0035,109.019,0.179,0.414,1
,,,,,,,,,,,
The Best,Hook N Sling,1OU3OPHczBcfFU8cDzSzKT,0.813,0.848,0.737362502,0.0534,0.0453,123.978,0.0696,0.603,1
,,,,,,,,,,,
Risk It All,Ella Henderson,2ntTfXxuIi3jlePOKSz26N,0.706,0.914,0.603139291,0.0615,0.19,124.03,0.0886,0.299,1
,,,,,,,,,,,
More Than I Want To,Sick Individuals,4dkQMweppOlQjOvxv5fQTy,0.435,0.804,0.745025337,0.0803,0.157,119.791,0.273,0.492,1
,,,,,,,,,,,
I Just Wanna Dance,Coldabank,1LsoAswipJvPzdcSnoQ46C,0.741,0.914,0.612903226,0.133,0.0247,124.984,0.22,0.15,1
,,,,,,,,,,,
